,Job Name,Company,Salary,Rating,New Job,Apply Here
42,QA Test Scripter - Java/Python,"Ursus, Inc.",Not Disclosed,4.9,No,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CT8vBT9H5mqECx2dfLV_FONLPDKpIRssxVwtj05Tmm4rA5I0VNOPdM1oYsK66ov5qfuTlAje6ql6Yn_zy0jhM__8TXF5xuBlPLtfSAJcji_vmBniit-Ta_UIbqeqw7nCzXKU4Ak31ZPszLUogSvZ3hA6i0_lDnYA23pF9c8BD0MAwKwTl00waeG3JjCPf4FyVbzqkRexH0EGxNBstjf7tv0gC09GkNEhyYIqNwvwyuJkbpxxGOOr384aZnpgwdVCH8JdgSmXQHS_GyDwFbTk-EyAC3pxtMydx3h-k6MDdD91cO4vtktWAver146CoWhh1awLs0642dkYPnTYxJkk1eqyzBpl4Z2VkYPf9VJ2c9UaTtCMN0nXKWjDDhZ1GDfqFJqTDlQxYdtF6XDpqYD_C5A3qwHLOTSdBUpdqM64i3KJdE5k-pcNcL5M-8JfTu_i4zyMgr_K6KB2OI-_r_hb6m0X724F5xR7oIDZe4KkiIMsDGvZWbLay4-pBmU2tHodn-ovrMsjGR8NMMn77vgFDSQRy2mf8EGpT-RL2D0mrY7oKm788BYw31M41_qqXxXGzJcfS-8HbReXuX7fANIVZzf06DpobDx-wzzpi0746gzKctPPNfZ3zAGmQxewJK2ktj5ACAYW0UxuRSsJlj59wDz_8wH7CpGs_vSUI47_I2IqnHB6KQ4qk2eTCCIVlUMAYHa_nzbBAi9ZbuZws1Be7xHHX4odO_RjWxEna51cdD9BuBmK6x4X2xCTirBKYaYY_ocX3sTUUBkhYCylVugni4VVvwkJbnNnXMLoIRH_gVhbf7MITDQFa-fLoHSpL0Ir7ZS2cuyCblbumry1JZW5ZjswWSqTBwzVQVm0bJjxxAQmt-NY1MKqG7YXKXWbdzH1kXKvf_Iv2PsItdnZVwWwMAOItKDlCkiG5OdIEH2iWDFFZ0n6mnaagDfLlw-tc4kDQXMmrk8dZ7lbXKnNPmmxPjmVsyvw9BO_-tq8R7RsvPIw==&xkcb=SoCf-_M3aMCGJjX-wx0NbzkdCdPP&p=12&fvj=0&vjs=3
43,Python Developer,Convazant,Not Disclosed,N/A,No,https://www.indeed.com/rc/clk?jk=3bd86e0ab712b364&fccid=2de1d596772fd42b&vjs=3
44,DevOps Engineer - Remote,CloudAngles,Not Disclosed,N/A,Yes,https://www.indeed.com/rc/clk?jk=20dbb09be800c1f7&fccid=d78f910d551e812e&vjs=3
45,Python Developer,Vrtek consulting,$45 - $55 an hour,N/A,Yes,https://www.indeed.com/company/Vrtek-Consulting/jobs/Python-Developer-7a58419cd09704a6?fccid=9c92810d80e16966&vjs=3
46,Data Analyst,Encore Theme,Not Disclosed,N/A,No,https://www.indeed.com/rc/clk?jk=ef19c64320fee095&fccid=68467f8543d168c0&vjs=3
47,Data Scientist - Risk Data Mining,TikTok,Not Disclosed,3.3,No,https://www.indeed.com/rc/clk?jk=eea9c03da22fed01&fccid=caed318a9335aac0&vjs=3
48,Game Tester,Fisec Global Inc.,$45 - $50 an hour,N/A,No,https://www.indeed.com/company/Fisec-Global-Inc./jobs/Game-Tester-c1a3162c3e8b9d10?fccid=58e1591d342807a8&vjs=3
49,QA Engineer,"Zoom Video Communications, Inc.",Not Disclosed,4.1,No,https://www.indeed.com/rc/clk?jk=784204cb9c119486&fccid=e32d933c26e873c8&vjs=3
50,QA Automation Engineer - Fresh Grad,Ryzen Solutions,$36.33 - $65.00 an hour,N/A,No,https://www.indeed.com/company/Northbound-LLC/jobs/QA-Automation-Engineer-75356048c52d7887?fccid=f60f0f1edb9350c6&vjs=3
51,Lab Technician with scripting,Emonics Technologies,"$70,000 - $100,000 a year",4.6,No,https://www.indeed.com/company/Emonics/jobs/Lab-Technician-Scripting-1679d9789bedf2d7?fccid=b3b4a6a45c149841&vjs=3
